QID,domain,subdomain,question,imageURL,options,answer,explaination
729,P-Block Elements,Group 18 Elements,What are the decay products of radium?,0,"['Radon and oxygen', 'Radon and nitrogen', 'Lanthanum and oxygen', 'Radon and Helium']",d,"Radium is a radioactive element with the atomic number 88. It is the 6<sup>th</sup> element in group 2 of the periodic table. Radium (Ra) on radioactive decay, gives Radon (Rn) and Helium (He) as the products."
730,P-Block Elements,Group 18 Elements,Which of the following noble gases is not obtained via fractional distillation?,0,"['Krypton', 'Argon', 'Neon', 'Helium']",d,"Neon, argon, krypton and xenon are obtained by fractional distillation of air. Fractional distillation of liquid air gives oxygen, nitrogen and a mixture of noble gases. The individual noble gases are then separated by adsorption over coconut charcoal which adsorbs different gases at different temperatures."
731,P-Block Elements,Group 18 Elements,Which of the following statements is incorrect about noble gases?,0,"['They are monoatomic', 'They are colourless', 'They are odourless', 'They all have an outer electronic configuration of ns<sup>2</sup>np<sup>6</sup>']",d,"The general outer electronic configuration for noble gases is ns<sup>2</sup>np<sup>6</sup>. But, for helium, the outer electronic configuration is 1s<sup>2</sup> as it its atomic number is only 2. All noble gases are monoatomic, odourless and colourless."
732,P-Block Elements,Group 18 Elements,What is the ratio of the molar heat at constant pressure to the molar heat at constant volume for a noble gas?,0,"['1.5', '1.67', '1.73', '1.37']",b,"All noble gases are monoatomic in nature due to their stable outer electronic configuration. The ratio of their specific or molar heat at constant pressure to the specific or molar heat at constant volume is equal to 1.67, which is the same for all monoatomic gases."
733,P-Block Elements,Group 18 Elements,What is the electron gain enthalpy for noble gases?,0,"['&gt; 0', '&lt; 0', '= 0', 'It is not defined for noble gases']",a,"Noble gases have completely filled subshells. As a result, there is no vacant room in their valence shell and hence the additional electron has to be placed in an orbital of the next higher shell. Therefore, energy has to be supplied in order to add an electron and so, the electron gain enthalpy of noble gases is positive (&gt; 0)."
734,P-Block Elements,Group 18 Elements,What is the boiling point of Helium?,0,"['7.8 K', '0 K', '4.2 K', '3.7 K']",c,"The melting and boiling points of noble gases are very low. This is because the atoms are held together by very weak Van der Waals forces of attraction in both liquid and solid states. Helium has the lowest boiling point, equal to 4.2 K, among all known substances."
735,P-Block Elements,Group 18 Elements,Which of the following noble gases is most soluble in water?,0,"['Helium', 'Radon', 'Krypton', 'Neon']",b,"Of all the noble gases, radon is the most soluble in water. Noble gases are non-polar substance, however, when dissolved in water, they are slightly soluble. This is due to dipole induced dipole interactions."
736,P-Block Elements,Group 18 Elements,Which of the following noble gases can diffuse through rubber?,0,"['Helium', 'Xenon', 'Argon', 'Krypton']",a,"Hydrogen is the lightest and the smallest noble gas, having an atomic number of 2. Owing to its small size and inert nature, it has the unusual property of diffusing through most commonly used laboratory materials such as rubber, glass or plastic."
737,P-Block Elements,Group 18 Elements,Which among the following noble gases does not form clathrates?,0,"['Argon', 'Xenon', 'Krypton', 'Helium']",d,"Noble gases can form compounds in which the gases are entrapped in the cavities of crystal lattices. Such compounds are called clathrates. Only Argon, Krypton, Xenon and Radon are known to form clathrates among the noble gases."
738,D & F-Block Elements,Periodic Table Position,All d-block elements are transition elements.,0,"['True', 'False']",b,Scandium and Zinc are d-block elements but are not transition elements. The electronic configurations of Sc and Zn are:
739,D & F-Block Elements,Periodic Table Position,What is the general electronic configuration of d-block elements?,0,"['(n-1)d<sup>1-10</sup>ns<sup>0-2</sup>', 'ns<sup>2</sup>np<sup>1-6</sup>', '(n–2)f<sup>1–14</sup>(n–1)d<sup>0–10</sup>ns<sup>2</sup>', 'ns<sup>1-2</sup>']",a,"D-block elements are so-called since, in them, 3d, 4d, 5d and 6d subshells are incomplete and the last electron enters the (n-1)d orbital, i.e., penultimate (last but one) shell. Their general electronic configuration is (n-1)d<sup>1-10</sup>ns<sup>0-2</sup>, where n is the outermost shell."
740,D & F-Block Elements,Periodic Table Position,How many series’ of transition elements are present in the periodic table?,0,"['One', 'Two', 'Three', 'Four']",d,"Unlike s or p block elements which are usually discussed as columns or groups, d-block elements are better discussed by classifying them into horizontal series. In the periodic table, there are four main transition series of elements corresponding to filling of 3d, 4d, 5d and 6d sublevels in the 4<sup>th</sup>, 5<sup>th</sup>, 6<sup>th</sup> and 7<sup>th</sup> periods."
741,D & F-Block Elements,Periodic Table Position,The study of transition elements is useful.,0,"['', 'True', 'False']",a,"The study of transition elements is important because precious metals such as silver, gold and platinum as well as industrially important metals such as iron, copper and titanium are transition elements."
742,D & F-Block Elements,Periodic Table Position,Which of the following element is not a transition element?,0,"['Fe', 'Mn', 'Zn', 'Ag']",c,"All transition elements are d-block elements, but all d-block elements are not transition elements. Zinc has the electronic configuration [Ar] 3d<sup>10</sup>4s<sup>2</sup>, and the configuration of the Zn<sup>2+</sup> ion is [Ar] 3d<sup>10</sup>. Thus, both the element and its only known stable ion have completely filled d-orbitals. Also, the metal does not exhibit any variable valency or multiple oxidation states in compound formation."
743,D & F-Block Elements,Periodic Table Position,Which of the following element belongs to the first transition series of the periodic table?,0,"['V', 'Zr', 'Ta', 'Y']",a,"The first transition series or 3d series corresponding to the filling of 3d sublevel consists of the following 10 elements of the 4<sup>th</sup> period: Sc (Atomic No. = 21), Ti, V, Cr, Mn, Fe, Co, Ni, Cu and Zn (Atomic No. = 30)."
744,D & F-Block Elements,Periodic Table Position,Which of the following element belongs to the second transition series of the periodic table?,0,"['Ni', 'Au', 'La', 'Nb']",d,"The second transition series or 4d series corresponding to the filling of 4d sublevel consists of the following 10 elements of the 5<sup>th</sup> period: Y (Atomic No. = 39), Zr, Nb, Mo, Tc, Ru, Rh, Pd, Ag and Cd (Atomic No. = 48)."
745,D & F-Block Elements,Periodic Table Position,Which of the following element belongs to the third transition series of the periodic table?,0,"['Sc', 'Re', 'Rh', 'Tc']",b,"The third transition series or 5d series corresponding to the filling of 5d sublevel consists of the following 10 elements of the 6<sup>th</sup> period: La (Atomic No. = 57); Hf (Atomic No. = 72), Ta, W, Re, Os, Ir, Pt, Au and Hg (Atomic No. = 80)."
746,D & F-Block Elements,Periodic Table Position,What is the first element of the fourth transition series in the periodic table?,0,"['Scandium', 'Yttrium', 'Actinium', 'Lanthanum']",c,The fourth transition series or 6d series corresponding to the filling of 6d sublevel starts with Actinium (Atomic No. = 89) followed by elements with atomic number 104 onwards. These elements lie in the seventh period of the periodic table.
747,D & F-Block Elements,Periodic Table Position,What is the nature of the transition elements?,0,"['Metallic', 'Non-metallic', 'Metalloid', 'Varies from element to element']",a,"Because they are all metals, the transition elements are often called the transition metals. As a group, they display typical metallic properties and are less reactive than the metals in group 1 and group 2 of the periodic table."
748,D & F-Block Elements,D-Block Configurations,"Which of the following are d-block elements, but not regarded as transition elements?",0,"['Ru, Ag, Au', 'Zn, Ru, Pd', 'Zn, Cd, Hg', 'Cd, Rh, Pd']",c,"Transition elements refer to those d-block elements who have their penultimate shells incomplete. In the case of Zinc, cadmium and mercury, since their penultimate shell is completely occupied, they are referred to as d-block elements and not regarded as transition elements."
749,D & F-Block Elements,D-Block Configurations,Why do transition elements form alloys so easily?,0,"['Atomic size', 'Orbital configuration', 'Very light', 'Hard elements']",a,Alloys are combinations of metals or elements in the form of a compound or a solution. Transition elements are highly capable in forming alloys because they have similar atomic size and can substitute each of their positions in a crystal lattice.
750,D & F-Block Elements,D-Block Configurations,Which of the following has the highest atomic number?,0,"['Scandium', 'Titanium', 'Cadmium', 'Lanthanum']",d,"In the periodic table, when you move down the group, the atomic number increases. In the given options, scandium and titanium belong to the 3d series, cadmium belongs to the 4d series and Lanthanum belongs to the 5d series. Therefore, Lanthanum will have the highest atomic number."
751,D & F-Block Elements,D-Block Configurations,What is the oxidation state exhibited by actinium?,0,"['+4', '+1', '+2', '+3']",d,"Actinium is the first member of the actinoid series. Its atomic number is 89. The electronic configuration of actinium is [Rn]6d<sup>1</sup>7s<sup>2</sup>. It has only three electrons to lose. Therefore, actinium is generally only found in the +3-oxidation state."
752,D & F-Block Elements,D-Block Configurations,Where does the last electron of d-block element go?,0,"['nd', '(n-1)d', 'np', '(n-1)s']",b,"In these elements, the last electron enters the d orbital of the penultimate shell, i.e., the last electron goes to (n-1) d orbital. Hence, these elements are named as d-block elements. These elements have partly filled d-subshells in their elementary form or in their simple ions."
753,D & F-Block Elements,D-Block Configurations,Why does Zinc not show variable valency?,0,"['Complete ‘d’ subshell', 'Inert pair effect', '4s<sup>2</sup> subshell', '4s<sup>3</sup> subshell']",a,"Both zinc and mercury have completely filled d-orbital. So, they tend to lose only 2 electrons from their outermost shell and have only one oxidation state. Hence, they only show a valency of +2 and do not show variable valency."
754,D & F-Block Elements,D-Block Configurations,What is the common oxidation state of scandium? (At. No. of Sc = 21),0,"['+4', '+3', '+1', '+5']",b,"The properties of scandium compounds are intermediate between those of aluminium and yttrium. A diagonal relationship exists between the behaviour of magnesium and scandium, just as there is between beryllium and aluminium. In the chemical compounds of the elements in group 3, the predominant oxidation state is +3."
755,D & F-Block Elements,D-Block Configurations,"Among d-block elements, the most abundant element belongs to the first transition state.",0,"['True', 'False']",a,"Iron and titanium are the most abundantly found transition elements. The most abundant transition metal in Earth’s solid crust is iron, which is fourth among all elements and second (to aluminum) among metals in crustal abundance."
756,D & F-Block Elements,D-Block Configurations,Which of the following statement is correct?,0,"['The properties of various actinoids are very similar', '4f and 5f orbitals are equally shielded', 'D-block elements show irregular and erratic chemical properties', '4d and 5d orbitals are equally shielded']",c,"There is very little variance in the atomic size of the actinoids and so, they show similar properties. 4f and 5f orbitals belong to different energy levels and so are unequally shielded. The same applies to the 4d and 5d orbitals. The d-block elements are known to show irregular and erratic chemical properties."
757,D & F-Block Elements,D-Block Configurations,The main factor for the cause of lanthanide contraction is poorer shielding of 5d electrons by 4f electrons.,0,"['True', 'False']",b,"Lanthanide contraction is the steady decrease in the size of the atoms with increasing atomic number from lanthanum (atomic number 57) through lutetium (atomic number 71). The Lanthanide Contraction is caused by a poor shielding effect of the 4f electrons. It’s due to lanthanide contraction, as the atomic number increases, the size of the lanthanide atoms and their tripositive ions decreases."
758,D & F-Block Elements,D-Block Properties,The d-electrons affect the properties of the transition elements to a great extent.,0,"['True', 'False']",a,"The transition elements differ from one another only in the number of electrons in the d-orbitals of the penultimate shell. The d-orbitals of the transition elements project to the periphery of the atom more than s and p-orbitals. Therefore, the d-electrons affect the properties of transition elements to a great extent."
759,D & F-Block Elements,D-Block Properties,Why is there an increase in the atomic radius of transition elements at the end of the period?,0,"['Increased electron-electron repulsions', 'Decreased electron-electron repulsions', 'Increase in nuclear charge', 'Increase in atomic mass']",a,"Near the end of the period, the increased electron-electron repulsions between added electrons in the same orbitals are greater than the attractive forces due to increased nuclear charge. This results in the expansion of the electron cloud and therefore, increases the atomic size."
760,D & F-Block Elements,D-Block Properties,The decrease in atomic size of the d-block elements in a series is small after midway.,0,"['3.Which of the following iswhy the atomic radii of the second and third transition series are almost same?', 'Actinoid contraction', 'Radioactive nature', 'Lanthanoid contraction', 'Filled d-orbital']",c,"In the atoms of the second transition series, the number of shells increases and so, their atomic radii is greater than that of the first transition series. The atomic radii of the second and third transition series are almost same due to lanthanoid contraction."
761,D & F-Block Elements,D-Block Properties,Which of the following is not a property of a transition metal?,0,"['True', 'False']",a,"In the beginning of the series, the atomic radius decreases with increase in atomic number as the nuclear charge increases and the shielding effect of the d-electrons is small. After midway, the increased number of d-electrons show an increase in shielding effect which counterbalances the increase in nuclear charge. Therefore, the decrease in atomic radius post midway is minimal."
762,D & F-Block Elements,D-Block Properties,What type of bond do the transition elements form with themselves?,0,"['They are lustrous', 'They are malleable', 'They are ductile', 'They have low boiling points']",d,"The transition metals exhibit all the characteristics of metals. They are hard, lustrous, malleable and ductile, have high melting and boiling points, high thermal and electrical conductivity and high tensile strength."
763,D & F-Block Elements,D-Block Properties,Which of the following is not a very hard metal?,0,"['', 'Ionic bond', 'Covalent bond', 'Coordinate bond', 'Metallic bond']",d,"Transition elements have relatively low ionization energies and have one or two electrons in their outermost energy level. As a result, they form metallic bonds. This is also the reason behind the metallic properties of transition elements."
764,D & F-Block Elements,D-Block Properties,Which of the following statements is incorrect?,0,"['Chromium', 'Molybdenum', 'Tungsten', 'Zinc']",d,"Greater the number of unpaired electrons, stronger is the bonding due to overlapping of unpaired electrons between different metal atoms. Cr, Mo and W have maximum unpaired d-electrons and are harder metals whereas Zn, Cd and Hg are not very hard due to the absence of unpaired electrons."
765,D & F-Block Elements,D-Block Properties,Which of the following element has the highest density among transition metals?,0,"['Manganese has an abnormally low boiling point', 'Transition elements have low enthalpies of atomisation', 'Transition elements exhibit metallic bonding', 'Transition metals generally have a high boiling point']",b,Transition metals generally have high melting and boiling points. Magnesium and technetium have abnormally low boiling points. This is due to the strong metallic bonds between the atoms. They have high enthalpies of atomization.
766,D & F-Block Elements,D-Block Properties,Which of the following element has the highest ionisation enthalpy?,0,"['Iridium', 'Osmium', 'Scandium', 'Chromium']",a,"Among the d-block elements, iridium has the highest density (22.61 g cm<sup>-3</sup>) whereas scandium has the lowest density (3.43 g cm<sup>-3</sup>). Osmium has slightly lesser density (22.59 g cm<sup>-3</sup>) than iridium."
767,D & F-Block Elements,Transition Elements,What is the colour of KMnO<sub>4</sub>?,0,"['Green', 'Purple', 'Blue', 'Colourless']",b,"The physical state of potassium permanganate (KMnO<sub>4</sub>) is an odourless solid, and they look like dark purple or bronze-coloured crystals. If we dissolve these crystals in water, then the solution becomes purple in colour."
768,D & F-Block Elements,Transition Elements,What is the formula of hematite?,0,"['Fe<sub>3</sub>O<sub>4</sub>', 'FeSO<sub>4</sub>.7H<sub>2</sub>O', 'Fe<sub>2</sub>O<sub>3</sub>', 'FeCl<sub>3</sub>']",c,"Ferric oxide(Fe<sub>2</sub>O<sub>3</sub>) occurs in nature as haematite. It is a red powder, insoluble in H<sub>2</sub>O and not acted upon by air or H<sub>2</sub>O. It is amphoteric in nature and reacts with acids and alkalis and used as a catalyst in the oxidation of CO to CO<sub>2</sub> in the Bosch process."
769,D & F-Block Elements,Transition Elements,Mn has a maximum oxidation state of +6.,0,"['True', ' False']",b,"The highest oxidation state in the oxides of any transition metal is equal to its group number, for example, 7 in Mn<sub>2</sub>O<sub>7</sub>. Beyond group 7, no higher oxides of iron above Fe<sub>2</sub>O<sub>3</sub> are known. Some metals in higher oxidation state stabilize by forming oxocations."
770,D & F-Block Elements,Transition Elements,Which of the following is amphoteric?,0,"['CrO', 'Cr<sub>2</sub>O<sub>3</sub>', 'CrO<sub>5</sub>', 'CrO<sub>3</sub>']",b,"Chromium(atomic no.24, symbol-Cr) forms many oxides. Some of its common oxidation states are +2, +3 and +6. Chromium (III) oxide (green in colour) is amphoteric, i.e., it can react as both acid and base. Its formula is Cr<sub>2</sub>O<sub>3</sub>."
771,D & F-Block Elements,Transition Elements,Which of the following is Baeyer’sreagent?,0,"['Acidified KMnO<sub>4</sub>', 'Alkaline KMnO<sub>4</sub>', 'Acidified K<sub>2</sub>Cr<sub>2</sub>O<sub>7</sub>', 'Aqueous KMnO<sub>4</sub>']",b,"Alkaline KMnO<sub>4</sub> is called Baeyer’s reagent. Baeyer’s reagent is an alkaline solution of cold potassium permanganate, which is a powerful oxidant making this a redox reaction. Reaction with double or triple bonds (-C=C- or -C≡C-) in an organic material causes the colour to fade from purplish-pink to brown. It is a syn addition reaction."
772,D & F-Block Elements,Transition Elements,Sc<sup>3+</sup> is a paramagnetic ion.,0,"['True', 'False']",b,"Scandium (atomic no.21, symbol-Sc) has the following electronic configuration:"
773,D & F-Block Elements,Transition Elements,Which of the following metal is used as a thermometric liquid?,0,"['Iron', 'Copper', 'Mercury', 'Potassium']",c,"Mercury (atomic no.80, symbol-Hg) is the only liquid metal at room temperature. It has a high coefficient of expansion and boiling point. This helps us to identify even the slightest change in temperature of the surroundings."
774,D & F-Block Elements,Transition Elements,Which of the following tests does AgCl not answer?,0,"['Chromyl chloride test', 'Baeyer’s reagent test', 'Alkaline test', 'Acidic test']",a,"Chromyl chloride test is done for detecting the presence of Cl<sup>–</sup> ions. The chlorides of silver, lead, mercury and antimony are covalent in nature and thus do not generate Cl<sup>–</sup> ions and so they do not give the chromyl chloride test also. So, heavy metal chlorides don’t give this test because they are not ionic."
775,D & F-Block Elements,Transition Elements,Which compound forms double salt with sulphates of alkali metals?,0,"['Ferric oxide', 'Silver nitrate', 'Ferric chloride', 'Ferrous sulphate']",d,"Ferrous sulphate forms double salts with sulphates of alkali metals with general formula R<sub>2</sub>SO<sub>4</sub>.FeSO<sub>4</sub>.6H<sub>2</sub>O. With ammonium sulphate, it forms a double salt known as Mohr’s salt. It ionises in solution to gives Fe<sup>2+</sup>, NH<sub>4</sub><sup>+</sup> and SO<sub>4</sub><sup>2-</sup> ions."
776,D & F-Block Elements,Transition Elements,Which compound is used in Ultra-violet calibration?,0,"['Hg<sub>2</sub>Cl<sub>2</sub>', 'HgCl<sub>2</sub>', 'K<sub>2</sub>Cr<sub>2</sub>O<sub>7</sub>', 'KMnO<sub>4</sub>']",c," Potassium dichromate (K<sub>2</sub>Cr<sub>2</sub>O<sub>7</sub>) is especially useful in the visible range but also useful in UV. Potassium dichromate itself is stable and available in high purity. In dilute perchloric acid solution, it has a linear response with good temperature stability and also stable as solution."
777,D & F-Block Elements,Lanthanoids,The lanthanides are d-block elements.,0,"['True', 'False']",b,"The lanthanides are elements in which the differentiating electron enters (n-2)f-orbital of anti-penultimate shell and are called as f-block elements. These have three outer shells incomplete. Thus, lanthanides are f-block elements, not d-block."
778,D & F-Block Elements,Lanthanoids,What is the general electronic configuration of the lanthanides?,0,"['(n-2)f <sup>1-14</sup> (n-1)d <sup>1-10</sup> ns<sup>2</sup>', '(n-2)f <sup>1-14</sup> (n-1)d <sup>1-2</sup> ns<sup>2</sup>', '(n-2)f <sup>1-14</sup> (n-1)d <sup>0-1</sup> ns<sup>2</sup>', '(n-2)f <sup>1-14</sup> (n-1)d <sup>0</sup> ns<sup>2</sup>']",c,"In lanthanides, the differentiating electron occupies 4f subshell and are rarely found on the earth’s crust, so called rare earths. The general electronic configuration of lanthanides is 6s<sup>2</sup>5d<sup>0-1</sup>4f<sup>1-14</sup>."
779,D & F-Block Elements,Lanthanoids,What happens to the atomic size of the lanthanides with increase in atomic number?,0,"['The radius remains unchanged', 'The radius decreases', 'The radius increases', 'The radius first increases and then decreases']",b,The gradual decrease in the atomic and ionic radii of the lanthanides with an increase in atomic number is called lanthanide contraction. It occurs due to the poor shielding effect of the 4f electrons.
780,D & F-Block Elements,Lanthanoids,Which of the following is not a consequence of lanthanide contraction?,0,"['From La<sup>+3</sup> to Lu<sup>+3</sup>, the ionic radii changes from 106 pm to 85 pm', 'As the size of the lanthanide ions decreases the basic strength increases', 'The basic character of oxides and hydroxides decreases with increase in atomic number', 'The atomic radii of 4d and 5d series is similar']",b,The small average decreases in the atomic size is responsible for a small decrease in electronegativity and S.O.P of lanthanides. As the size of the lanthanide ions decreases the covalent character of M—OH bond increases and hence basic strength decreases.
781,D & F-Block Elements,Lanthanoids,What is the most common oxidation state of lanthanides?,0,"['+2', '+4', '+6', '+3']",d,"The most common and stable oxidation state of lanthanides is +3. Some elements also exhibit +4 oxidation states. Some elements exhibit +2 oxidation state also due to their half-filled, fully-filled and noble gas configuration."
782,D & F-Block Elements,Lanthanoids,"In lanthanides, Ce changes from +4 to +3 oxidation state.",0,"['True', 'False']",a,"In lanthanides, Ce changes from +4 to +3 oxidation state. Formation of Ce<sup>4+</sup> is favorable due to its noble gas configuration. However, Ce<sup>+4</sup> changes to Ce<sup>+3</sup> as it is a strong oxidizing agent. The E° value of Ce<sup>+4</sup>/Ce<sup>+3</sup> is +1.74 V."
783,D & F-Block Elements,Lanthanoids,Which of the following is not a property of lanthanides?,0,"['They are soft metals with white silvery color', 'They tarnish rapidly by air', 'The hardness of the metals increases with increase in the atomic number', 'The melting point of the metal ranges from 500-1000K']",d,"All lanthanides are soft metals with silvery white color. They tarnish rapidly by air. With increase in atomic number, the harness of these metals also increases. The melting points of the lanthanides ranges from 1000 to 1200K but samarium melts at 1623K."
784,D & F-Block Elements,Lanthanoids,Which of the following lanthanide ions do not exhibit color?,0,"['Lu<sup>+3</sup> and Ln<sup>+3</sup>', 'Lu<sup>+2</sup> and Ln<sup>+2</sup>', 'Ce<sup>+3</sup> and Ce<sup>+3</sup>', 'Pr<sup>+4</sup> and Ce<sup>+4</sup>']",a,"Many trivalent lanthanide ions are colored both in the solid state and in aqueous state due to f-f electronic transition. Lu<sup>+3</sup> and Ln<sup>+3</sup> don’t exhibit color due to absence of unpaired electrons. All lanthanide ions except La<sup>+3</sup>, Ce<sup>+3</sup> and Lu<sup>+3</sup> are paramagnetic due to presence of unpaired electrons."
785,D & F-Block Elements,Lanthanoids,Which of the following is the correct order of arrangement of the first five lanthanides according to atomic number?,0,"['La, Ce, Pr, Nd, Pm', 'La, Pr, Ce, Pm, Nd', 'La, Pr, Ce, Nd, Pm', 'La, Ce, Pr, Pm, Nd']",a,The first five elements of Lanthanides are:
786,D & F-Block Elements,Lanthanoids,Which is the last element of lanthanides?,0,"['Ytterbium', 'Lutetium', 'Thulium', 'Erbium']",b,"The atomic numbers of Erbium, Thulium, Ytterbium and Lutetium is 68, 69, 70 and 71 respectfully. So the last element of lanthanide series is Lutetium with electronic configuration [Xe]4f<sup>14</sup>5d<sup>1</sup>6s<sup>2</sup>."
787,D & F-Block Elements,Actinoids,Actinoid compounds are more basic than lanthanoid compounds.,0,"['True', 'False']",a,"Lanthanoids are involved in the filling of 4f- orbitals, whereas actinoids are involved in the filling of 5f-orbitals. The binding energy of 4f electrons is comparatively less than that of 5f-electrons. The compounds formed by lanthanides are less basic, whereas the compounds of actinides are highly basic."
788,D & F-Block Elements,Actinoids,Which property of actinoids cannot be explained?,0,"['Radioactive', 'Oxidation', 'Magnetic', 'Acidic']",c,"Their magnetic properties cannot be explained easily, as they are more complex. The 5f bands formed due to 5f-5f wave function overlap or to hybridisation with s, p or d electrons. As a result of the band formation, a wide variety of magnetic phenomena may occur."
789,D & F-Block Elements,Actinoids,Which is the most stable oxidation state of actinoids?,0,"['+2', '+3', '+4', '+5']",b,"Actinoids show variable oxidation states because of the smaller energy gap between 5f, 6d and 7s orbitals. Though 3+ is the most stable oxidation state, other oxidation states are possible because of the good shielding of f-electrons."
790,D & F-Block Elements,Actinoids,All actinoids are diamagnetic in nature.,0,"['True', 'False']",b,Substances which are weakly repelled by a magnetic field are said to be diamagnetic. All actinoids are paramagnetic in nature due to the presence of unpaired electrons. This means that they are weakly attracted by a magnetic field.
791,D & F-Block Elements,Actinoids,Actinoids are mostly attacked by which acid?,0,"['Hydrochloric acid', 'Nitric acid', 'Sulphuric acid', 'Boric acid']",a,Actinoids are highly reactive metals especially in the finely divided state. All these metals are attacked by hydrochloric acid but the effect of nitric acid is very small due to the formation of a protective oxide layer on their surface.
792,D & F-Block Elements,Actinoids,Which of the actinoids is used in the treatment of cancer?,0,"['Plutonium', 'Uranium', 'Curium', 'Thorium']",d,"Thorium (atomic no.90, symbol-Th) is used in atomic reactors and in the treatment of cancer. Its salts are used in making incandescent gas mantles. Thorium is formed by the radioactive of uranium and is used to treat tumours."
793,D & F-Block Elements,Actinoids,Which of the actinoids is used as a nuclear fuel?,0,"['Actinium', 'Thorium', 'Uranium', 'Californium']",c,"Uranium is used as fuel in nuclear reactors. It  is mined and goes through refining and enrichment before being loaded into a nuclear reactor. Nuclear power plants use a certain kind of uranium, referred to as U-235, for fuel because its atoms are easily split apart."
794,D & F-Block Elements,Actinoids,Which isotope of plutonium is used in nuclear bombs?,0,"['P-238', 'P-239', 'P-240', 'P-241']",b,"The most common plutonium isotope formed in a typical nuclear reactor is the fissile Pu-239, formed by neutron capture from U-238 (followed by beta decay), and which when fissioned yields much the same energy as the fission of U-235."
795,D & F-Block Elements,Actinoids,Choose the correct statement.,0,"['Both actinoids and lanthanoids are less basic', 'Both actinoids and lanthanoids do not show same oxidation of +3', 'Both actinoids and lanthanoids do not exhibit magnetic and spectral properties', 'Both actinoids and lanthanoids are electropositive']",d,Lanthanides and actinides involve filling of f-orbitals and thus are similar in many respects. The most common oxidation state is +3 for both lanthanides and actinides. Both are electropositive in nature and thus very reactive. Magnetic and spectral properties are exhibited by both lanthanides and actinides.
796,D & F-Block Elements,Actinoids,Which was the first transuraniumactinoid element to be discovered?,0,"['Neptunium', 'Americium', 'Protactinium', 'Actinium']",a,"Neptunium was the first transuranium element to be discovered in 1940. It is a silvery metal, with a melting point of 637°C and a boiling point of 4174°C. It exhibits oxidation states of +3 to +7 in compounds and useful for chemical experiments."
797,D & F-Block Elements,D & F-Block Elements,Which metal is used in an aircraft turbine engine?,0,"['Iron', 'Thorium', 'Titanium', 'Neodymium']",c,"Titanium is one such material which plays a pivotal role in modern jet engine design. Its strength to weight ratio and resistance to extreme heat make it the ideal candidate for aerospace applications. Hence, it is used in aircraft turbine engines."
798,D & F-Block Elements,D & F-Block Elements,Mild steel is used in construction.,0,"['True', 'False']",a,"Plain Carbon Steel is the most common type of steel used in building construction, which is also known as mild steel. It is incalculably strong and durable, and ensures a sturdy built and used in various type of construction."
799,D & F-Block Elements,D & F-Block Elements,Which metal is used as an electroplated protective coating?,0,"['Plutonium', 'Chromium', 'Nickel', 'Iron']",b,"Chrome plating (less commonly chromium plating), often referred to simply as chrome, is a technique of electroplating a thin layer of chromium onto a metal object. The chromed layer can be decorative, provide corrosion resistance, ease cleaning procedures, or increase surface hardness."
800,D & F-Block Elements,D & F-Block Elements,Which metal is used in making electrical fibres?,0,"['', 'Actinium', 'Nickel', 'Thorium', 'Tungsten']",d,The melting point of Tungsten (W) is very high (3422°C). It has the highest melting point among all the metals. This property of Tungsten makes it excellent for use as filaments in light bulbs as it can resist high temperatures.
801,D & F-Block Elements,D & F-Block Elements,Silver bromide is used in photography.,0,"['True', 'False']",a,"Silver bromide (AgBr), a soft, pale-yellow, water-insoluble salt well known (along with other silver halides) for its unusual sensitivity to light. AgBr is widely used in photographic films and is believed by some to have been used for making the Shroud of Turin."
802,D & F-Block Elements,D & F-Block Elements,Which of the following metal does not form a coloured salt?,0,"['Thorium', 'Zinc', 'Bronze', 'Cobalt']",b,"Zinc has no unpaired electrons in its d orbital and has a stable fully filled d orbital. Hence, due to the absence of unpaired electrons in Zinc, it can show no specific colouration in its salts. All salts and solutions of Zinc are always white due to this fact."
803,D & F-Block Elements,D & F-Block Elements,Which of the following is used as a nuclear fuel?,0,"['Cobalt', 'Zinc', 'Iron', 'Uranium']",d,"Uranium (atomic no. 92, symbol-U) is used as nuclear fuel. Its salts are used in the glass industry (for imparting green colour), textile industry, ceramic industry and in medicines. Natural uranium has three major isotopes."
804,D & F-Block Elements,D & F-Block Elements,Which of the following has the highest density?,0,"['Os', 'Zn', 'Cr', 'Cd']",a,"Osmium is the densest naturally occurring element, with an experimentally measured (using x-ray crystallography) density of 22.59 g/cm<sup>3</sup>. Its atoms are packed together more tightly in the solid form than other metals."
805,D & F-Block Elements,D & F-Block Elements,Which of the following element has the highest melting point?,0,"['Co', 'Zn', 'Ni', 'Cr']",d,"Of all the 3d transition elements, chromium has the highest melting point. More the number of unpaired electrons in the d-block element, stronger is the metallic bond formation. Since chromium contains more number of unpaired electrons, it has the highest melting point."
806,D & F-Block Elements,D & F-Block Elements,What is the end product formed when KMnO<sub>4</sub> reacts with HCl?,0,"['Brown fumes', 'Dark green gas', 'Greenish yellow gas', 'Dense white fumes']",c,"Potassium permanganate (KMnO<sub>4</sub>) reacts with hydrochloric acid(HCl) to form potassium chloride, manganese chloride, chlorine and water. Here, one of the products formed, chlorine, is a greenish yellow gas. It has a pungent smell and is toxic."
